Cluster,Peilvakken,Inlaten,I,Inlaten percentage,Gemalen,G
De Dintel,Sabina Henrica Polder,Sabinapolder,6125_TDB,,de Dintel,7115_TDB
De Dintel,Oude Appelaar,Groote Torenpolder,6111_TDB,,Tonnekreek (70% inlaat Sabinapolder),7117_TDB
De Dintel,Elisabethpolder,Barlaque (70%),6114_TDB,70,,
De Dintel,Sabina Henrica Polder west,,,,,
De Dintel,Groote Torenpolder,,,,,
De Dintel,St. Antoniegorzen west,,,,,
Tonnekreek,Oude Heijningen,Barlaque,6114_TDB,,Tonnekreek,7117_TDB
Tonnekreek,Ruigenhil oost,Keenehaven,6112_TDB,,De Dintel (70% inlaat Barlaque),7115_TDB
Tonnekreek,Oude Fijnaart; Nieuwe Molen,Sabinapolder (70%),6125_TDB,70,Torenpolder/Bloemendaal (30% inlaat Keenehaven),7024_TDB
Tonnekreek,Prins Henrik; Henrietta;Keene,,,,,7001_TDB
Tonnekreek,Oude Fijnaart noord-west,,,,,
Tonnekreek,Eerste Kruisweg Fijnaart,,,,,
Tonnekreek,Oranjeoord,,,,,
Tonnekreek,Droge Dijk-west,,,,,
Tonnekreek,stedelijk water Fijnaart oost,,,,,
Tonnekreek,Oude Heijningsedijk,,,,,
Tonnekreek,stedelijk water Fijnaart west,,,,,
Tonnekreek,stedelijk water Fijnaart midden,,,,,
Tonnekreek,Barlaque,,,,,
Bloemendaalse polder,Noordt; Toren; Oost en West Meerenpolder,Rijksweg A17,6102_TDB,,Bloemendaal,7001_TDB
Bloemendaalse polder,Bloemendaalsepolder west,Molendijk Standdaarbuiten,6108_TDB,,Torenpolder,7024_TDB
Bloemendaalse polder,Oudland van Standdaarbuiten midden,Eersteling,6117_TDB,,,
Bloemendaalse polder,Oudland van Standdaarbuiten noord,Vogeltje,6130_TDB,,,
Bloemendaalse polder,Oudland van Standdaarbuiten zuid,gemaal Torenpolder,7024_KSF,,,
Bloemendaalse polder,Molendijk,Bekertjesfabriek,6101_TDB,,,
Bloemendaalse polder,Zomerpolder west,Keenehaven,6112_TDB,,,
Bloemendaalse polder,Oudland van Standdaarbuiten west,,,,,
Bloemendaalse polder,Molenstraat,,,,,
Bloemendaalse polder,Mancia Winterpolder zuid,,,,,
Bloemendaalse polder,Mancia Winterpolder noord,,,,,
Bloemendaalse polder,Oost Slikpolder,,,,,
Bloemendaalse polder,Keensche Gorzen west,,,,,
Bloemendaalse polder,Keensche Gorzen NRD,,,,,
Bloemendaalse polder,Keensche Gorzen,,,,,
Geluk,Annapolder N.O.,Havenweg,6123_TDB,,Geluk,7125_TDB
Geluk,Dintelpolder,Gemaal De Vliet (30%),7108_TDB2,,,
Geluk,Dintelpolder Hoog,,,,,
Geluk,Koningspolder west,,,,,
Geluk,Anna polder zuid/west,,,,,
Visvliet,Koningsoordpolder oost,Gemaal De Vliet (70%),7108_TDB3,,Visvliet,7118_TDB
Visvliet,Koningsoordpolder west,,,,,
Visvliet,Koningspolder N.O.,,,,,
Oude Prinslandse Polder,Oude Prinslandsche Polder,Mariadijk,6100_TDB,,OPP,7123_TDB
Oude Prinslandse Polder,Tien Voeter,Brooymans 1,6107_TDB,,Inlaat Mariadijk,6100_TDB
Oude Prinslandse Polder,Westveerpolder,Stedelijk Dinteloord,6122_TDB,,,
Oude Prinslandse Polder,Grachten Dinteloord,,,,,
Willemspolder,Willemspolder,Noordzeedijk,6116_TDB,,Willemspolder,7120_TDB
Willemspolder,,Gemaal Willemspolder,7120_KSF,,,
Den Biggelaar,Oudland van Zevenbergen,Afgebrande Hoef,6044_TDB,,Den Biggelaar,1088_TDB
Den Biggelaar,Spiepolder,De Hillen,1288_TDB,,Schuddebeurs (10% inlaat de Hillen),1284_TDB
Den Biggelaar,Crauwelgorsche polder,,,,,
Den Biggelaar,Hokkenberg,,,,,
Den Biggelaar,Afgebrande hoef,,,,,
Den Biggelaar,De Hillen,,,,,
Den Biggelaar,Crauwelgorsche polder noord,,,,,
Den Biggelaar,Blaak,,,,,
Den Biggelaar,Bosselaar,,,,,
Den Biggelaar,stedelijk water Zevenbergen,,,,,
Zonzeel,Derde Weg,Opvoergemaal Hoevenseweg,1056_TDB,,Zonzeel,1051_TDB
Zonzeel,Laag Zonzeel,Opvoergemaal de Noord,1254_PMP,,Schuddebeurs (20% opvoergemaal de Noord),1024_TDB
Zonzeel,Domineese weg,,,,,
Zonzeel,Vrije Kavelen,,,,,
Zonzeel,Staatsbosbeheer; Zoutendijk,,,,,
Zonzeel,De Wetering,,,,,
Zonzeel,Honderd Roeden,,,,,
Zonzeel,Zuurbrood;Reeweg,,,,,
Zonzeel,Staatsbosbeheer;Reeweg,,,,,
Zonzeel,HSL wijk,,,,,
Zonzeel,Zuurbrood;spoor,,,,,
Zonzeel,Blauwe Sluis,,,,,
Zonzeel,Zuurbrood;Pootweg,,,,,
Laakdijk/Schuivenoord,Brandestraat,Munnikenhof,1045,,Laakdijk,1281_TDB
Laakdijk/Schuivenoord,Schuivenoordse Polder,gemaal Laakdijk,1281_KSF,,Opvoergemaal Hoevenseweg,1056_TDB
Laakdijk/Schuivenoord,Hoog Zonzeel,Terheijden,6045_TDB,,Opvoergemaal de Noord,1254_TDB
Laakdijk/Schuivenoord,Zuidveren,Molen Terheijden,6046_TDB,,,
Laakdijk/Schuivenoord,Houtsche Akkers,,,,,
Laakdijk/Schuivenoord,Witte Weg,,,,,
Laakdijk/Schuivenoord,Binnenpolder (kooibos),,,,,
Laakdijk/Schuivenoord,Terheijden (oost),,,,,
Laakdijk/Schuivenoord,Munnikenhof,,,,,
Laakdijk/Schuivenoord,De Bergen,,,,,
Laakdijk/Schuivenoord,Heiligen Geest,,,,,
Laakdijk/Schuivenoord,Zeggepolder,,,,,
Laakdijk/Schuivenoord,Zeggepolder Noord,,,,,
Laakdijk/Schuivenoord,Witteweg zuid-west,,,,,
Laakdijk/Schuivenoord,Witteweg noord-west,,,,,
Laakdijk/Schuivenoord,Zeggepolder Zuid,,,,,
Laakdijk/Schuivenoord,Lage Weg,,,,,
Laakdijk/Schuivenoord,Vaartkant,,,,,
Laakdijk/Schuivenoord,Schimmerlseweg,,,,,
Laakdijk/Schuivenoord,Rode weel,,,,,
Laakdijk/Schuivenoord,Klein Munnikenhof,,,,,
Laakdijk/Schuivenoord,Schimmer,,,,,
Heerjansland/Zellebergen,Heerjansland,Kaas & Brood,6096_TDB,,Heerjansland,4007_TDB
Heerjansland/Zellebergen,Heerjansland,St. Antoinedijk,KST01262,,,
Heerjansland/Zellebergen,Kaas & Brood,gemaal Heerjansland,4007_KKL,,Zellebergen,4024_TDB
Heerjansland/Zellebergen,Bossche laag,gemaal Zellebergen,4024_KSF,,,
Heerjansland/Zellebergen,P.C. Keetweg,,,,,
Triangelpolder/Kruisland,Kruisland,Steenbergse haven,,,Brooijmans,7131_TDB
Triangelpolder/Kruisland,Boomvaart,Triangelpolder,7533_TDB,,,
Triangelpolder/Kruisland,Prinsebossche,,,,,
Triangelpolder/Kruisland,De Brand,,,,,
Triangelpolder/Kruisland,Karhoef,,,,,
Triangelpolder/Kruisland,Gagel,,,,,
Triangelpolder/Kruisland,Triangelpolder,,,,,
Triangelpolder/Kruisland,Triangelpolder-Noord,,,,,
Hogediep,Hogediep,Noord Heensedijk,8020_WTH,,Hogediep,7525_TDB
Hogediep,Noord Groene Weg,,,,,
Hogediep,Zeelandweg oost,,,,,
Hogediep,WFK-polder,,,,,
Hogediep,Zuid Groene Weg,,,,,
Hogediep,Noordheensche Polder,,,,,
Hogediep,Noordheen,,,,,
Hogediep,Waterweg,,,,,
Hogediep,Honderd Gemetendijk,,,,,
Leurschans,Leurschans,Fort Hendrik,6143_TDB,,Leurschans,7510_TDB
Leurschans,Fort Henricus,gemaal Leurschans,KSF_7510,,,
Goudbloem,Maartenspolder West,Jappegat,6095_TDB,,Goudbloem,4027_TDB
Goudbloem,Buitenloos en Groote Zilveren Hoek,Havendijk,6088_TDB,,,
Endekweek,Suikermans Maden,Goudbloem/buitengronden,6098_TDB,,Endekweek,4008_TDB
Endekweek,Endekweek,van Poppel,6094_TDB,,,
Endekweek,Maartenspolder Oost,Houtwei,6089_TDB,,,
Endekweek,Palingstraat,Palingstraat,6086_TDB,,,
Endekweek,Polder Goudbloem,,,,,
Endekweek,Balrouwsche Vaart,,,,,
Endekweek,Hoog Balrouw,,,,,
Endekweek,Laaksche Vaart,,,,,
Endekweek,Eerste Molenweg,,,,,
Endekweek,Kruisstraat,,,,,
Westpolder,Ettense Beemden of Westpolder,Leurse Haven,4514_WTH,,De Emmer,4017_TDB
Westpolder,Krijtenburg,Kibbelvaart,4300_TDB,,,
Westpolder,De Banken,Krijtenbergse polder,6079_TDB,,,
Westpolder,Hanekinderpolder,,,,,
Westpolder,Hillekens,,,,,
Westpolder,Danenberg,,,,,
Westpolder,De Bochten,,,,,
Westpolder,Kelsdonk,,,,,
Westpolder,'t Riool,,,,,
Westpolder,Achter de Boerkes,,,,,
Westpolder,Achtergat,,,,,
Westpolder,De Dood,,,,,
Westpolder,Haansberg,,,,,
Zwartenbergse polder,Hoge Zijpolder,Groenendijk,6077_TDB,,Halle-Zwartenberg,4018A_TDB
Zwartenbergse polder,Zwartenbergse Polder,De Buitenlanden,6081_TDB,,,
Zwartenbergse polder,Buitenlanden,,,,,
De Halse Vliet,De Hillen,Weimeren (oude dieselgem.),,,Halle-Halderdonk,4018_TDB
De Halse Vliet,Halle,gemaal Halderdonk,4018_KSF1,,,
De Halse Vliet,Halderdonk,,,,,
De Halse Vliet,Strijpen,,,,,
De Halse Vliet,Briel,,,,,
Rooskensdonk/Kraaiennest,Natuurgebied Rooskensdonk,Rooskensdonk (natuurgeb.),,,Kraaiennest,4019_TDB
Rooskensdonk/Kraaiennest,Hooijdonk,Rooskensdonk,6047_TDB,,,
Rooskensdonk/Kraaiennest,Grote Klamp,gemaal Kraaiennest,4019?,,,
Rooskensdonk/Kraaiennest,Hooijdonk_2,,,,,
Haagse Beemden,MH16,gemaal Achter Emer,4014_TDB2,,Achter Emer,4014_TDB1
Haagse Beemden,MH15,,,,,
Haagse Beemden,MH14,,,,,
Haagse Beemden,MH13/13,,,,,
Haagse Beemden,MH11,,,,,
Haagse Beemden,MH10,,,,,
Vuchtpolder,Vuchtpolder,gemaal Vugtpolder,4016?,,Vugtpolder,4016_TDB
Vuchtpolder,De Hartel,de Hartel,5324,,,
Hoge Vucht,MV10,Gemaal Moerlaken,4002_KSF,,Moerlaken,4002_TDB
Hoge Vucht,MV11,,,,,